,track_urs,track_names,release_dates,artists_info,artist_names,artist_pops,artists_genres,albums,tracks_pop
0,spotify:track:0GPJSHYaXh8rZSSJoUMgyl,free love,2020-07-03,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/0Vw76uk7P8yVtTClWyOhac'}, 'followers': {'href': None, 'total': 1426381}, 'genres': ['pop', 'uk pop'], 'href': 'https://api.spotify.com/v1/artists/0Vw76uk7P8yVtTClWyOhac', 'id': '0Vw76uk7P8yVtTClWyOhac', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe1b208b540b1419be505c696', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e1b208b540b1419be505c696', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e1b208b540b1419be505c696', 'width': 160}], 'name': 'HONNE', 'popularity': 65, 'type': 'artist', 'uri': 'spotify:artist:0Vw76uk7P8yVtTClWyOhac'}",HONNE,65,"['pop', 'uk pop']",no song without you,65
1,spotify:track:4YaRTwLpyEnfwZtRzs8qYp,Give,2017-01-06,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1kNQXvepPjaPgUfeDAF2h6'}, 'followers': {'href': None, 'total': 694028}, 'genres': ['modern alternative rock', 'modern rock', 'pop punk', 'rock'], 'href': 'https://api.spotify.com/v1/artists/1kNQXvepPjaPgUfeDAF2h6', 'id': '1kNQXvepPjaPgUfeDAF2h6', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebef140aed2575d2167730864a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ef140aed2575d2167730864a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ef140aed2575d2167730864a', 'width': 160}], 'name': 'You Me At Six', 'popularity': 59, 'type': 'artist', 'uri': 'spotify:artist:1kNQXvepPjaPgUfeDAF2h6'}",You Me At Six,59,"['modern alternative rock', 'modern rock', 'pop punk', 'rock']",Night People,0
2,spotify:track:3k2B2G0eRp5Tcss4tPHBaB,Stepson,2013-01-31,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6FQqZYVfTNQ1pCqfkwVFEa'}, 'followers': {'href': None, 'total': 1278915}, 'genres': ['indie rock', 'modern rock', 'oxford indie', 'rock'], 'href': 'https://api.spotify.com/v1/artists/6FQqZYVfTNQ1pCqfkwVFEa', 'id': '6FQqZYVfTNQ1pCqfkwVFEa', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe7b5d168c13ddba810b430dd', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e7b5d168c13ddba810b430dd', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e7b5d168c13ddba810b430dd', 'width': 160}], 'name': 'Foals', 'popularity': 64, 'type': 'artist', 'uri': 'spotify:artist:6FQqZYVfTNQ1pCqfkwVFEa'}",Foals,64,"['indie rock', 'modern rock', 'oxford indie', 'rock']",Holy Fire,35
3,spotify:track:2Kp7DmEPQZQ1ru6OmoLJEo,Tokyo Witch,2006-10-03,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/56ZTgzPBDge0OvCGgMO3OY'}, 'followers': {'href': None, 'total': 1608926}, 'genres': ['baltimore indie', 'dream pop', 'dreamo', 'modern dream pop'], 'href': 'https://api.spotify.com/v1/artists/56ZTgzPBDge0OvCGgMO3OY', 'id': '56ZTgzPBDge0OvCGgMO3OY', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb3e38a46a56a423d8f741c09', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b3e38a46a56a423d8f741c09', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b3e38a46a56a423d8f741c09', 'width': 160}], 'name': 'Beach House', 'popularity': 71, 'type': 'artist', 'uri': 'spotify:artist:56ZTgzPBDge0OvCGgMO3OY'}",Beach House,71,"['baltimore indie', 'dream pop', 'dreamo', 'modern dream pop']",Beach House,36
4,spotify:track:3lqrCvTI9YRt62FR5JSTom,Say When,2009-02-02,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/0zOcE3mg9nS6l3yxt1Y0bK'}, 'followers': {'href': None, 'total': 3699924}, 'genres': ['neo mellow', 'piano rock', 'pop', 'pop rock'], 'href': 'https://api.spotify.com/v1/artists/0zOcE3mg9nS6l3yxt1Y0bK', 'id': '0zOcE3mg9nS6l3yxt1Y0bK', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0f1175c762fb80f71469b344', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740f1175c762fb80f71469b344', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780f1175c762fb80f71469b344', 'width': 160}], 'name': 'The Fray', 'popularity': 68, 'type': 'artist', 'uri': 'spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK'}",The Fray,68,"['neo mellow', 'piano rock', 'pop', 'pop rock']",The Fray,46
5,spotify:track:5IwUFTiNkarb5HEtNRtRtc,mother tongue,2019-01-25,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Ffb6ejR6Fe5IamqA5oRUF'}, 'followers': {'href': None, 'total': 4411582}, 'genres': ['melodic metalcore', 'metalcore', 'rock', 'uk metalcore'], 'href': 'https://api.spotify.com/v1/artists/1Ffb6ejR6Fe5IamqA5oRUF', 'id': '1Ffb6ejR6Fe5IamqA5oRUF', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb001ae3b1275c9ec37a4c550b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174001ae3b1275c9ec37a4c550b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178001ae3b1275c9ec37a4c550b', 'width': 160}], 'name': 'Bring Me The Horizon', 'popularity': 77, 'type': 'artist', 'uri': 'spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF'}",Bring Me The Horizon,77,"['melodic metalcore', 'metalcore', 'rock', 'uk metalcore']",amo,59
6,spotify:track:5jYe1mOKg5zUx0enf1DOdz,Cold,2019-08-08,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/0xu4jAQQv7ZAqvFGdc9HgP'}, 'followers': {'href': None, 'total': 188115}, 'genres': ['alt z', 'australian pop', 'electropop', 'pop', 'uk pop'], 'href': 'https://api.spotify.com/v1/artists/0xu4jAQQv7ZAqvFGdc9HgP', 'id': '0xu4jAQQv7ZAqvFGdc9HgP', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb70462327856668ca69977701', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517470462327856668ca69977701', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17870462327856668ca69977701', 'width': 160}], 'name': 'Boy In Space', 'popularity': 58, 'type': 'artist', 'uri': 'spotify:artist:0xu4jAQQv7ZAqvFGdc9HgP'}",Boy In Space,58,"['alt z', 'australian pop', 'electropop', 'pop', 'uk pop']",Cold,62
7,spotify:track:3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,2015-12-04,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU'}, 'followers': {'href': None, 'total': 38233691}, 'genres': ['permanent wave', 'pop'], 'href': 'https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU', 'id': '4gzpq5DPGxSnKTe4SA8HAU', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb865a3301762a8fce048cb469', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174865a3301762a8fce048cb469', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178865a3301762a8fce048cb469', 'width': 160}], 'name': 'Coldplay', 'popularity': 88, 'type': 'artist', 'uri': 'spotify:artist:4gzpq5DPGxSnKTe4SA8HAU'}",Coldplay,88,"['permanent wave', 'pop']",A Head Full of Dreams,84
8,spotify:track:2hVSPUJVMxQwcfa1xdhRt8,blur,2022-06-03,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6aX6KqXgEcARRHwvWxHcFW'}, 'followers': {'href': None, 'total': 722888}, 'genres': ['canadian pop', 'pop'], 'href': 'https://api.spotify.com/v1/artists/6aX6KqXgEcARRHwvWxHcFW', 'id': '6aX6KqXgEcARRHwvWxHcFW', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb1d851d77d3ab7d1a29808cb3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051741d851d77d3ab7d1a29808cb3', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1781d851d77d3ab7d1a29808cb3', 'width': 160}], 'name': 'Johnny Orlando', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:6aX6KqXgEcARRHwvWxHcFW'}",Johnny Orlando,62,"['canadian pop', 'pop']",blur,54
9,spotify:track:0umDVf77ygI5RiVp9OvNDj,Pyro,2010-10-19,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2qk9voo8llSGYcZ6xrBzKx'}, 'followers': {'href': None, 'total': 5014940}, 'genres': ['modern rock', 'rock'], 'href': 'https://api.spotify.com/v1/artists/2qk9voo8llSGYcZ6xrBzKx', 'id': '2qk9voo8llSGYcZ6xrBzKx', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb8fbd402cfd8cc6ce926a2229', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051748fbd402cfd8cc6ce926a2229', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1788fbd402cfd8cc6ce926a2229', 'width': 160}], 'name': 'Kings of Leon', 'popularity': 73, 'type': 'artist', 'uri': 'spotify:artist:2qk9voo8llSGYcZ6xrBzKx'}",Kings of Leon,73,"['modern rock', 'rock']",Come Around Sundown (Expanded Edition),67
